set,query_id,channel,rr_V,rank_V,rr_O,rank_O,rr_A,rank_A
holdout,h_L25_V039_187,Báo Thanh Niên,0.016666666666666666,60,6.86766018817389e-05,14561,0.0034482758620689655,290
holdout,h_L22_V018_663,60 Giây Official,0.0058823529411764705,170,3.281270507940675e-05,30476,1.0,1
holdout,h_L26_V393_46,ViVU TV,0.0008347245409015025,1198,8.085512378919452e-06,123678,0.0024096385542168677,415
holdout,h_L26_V364_48,ViVU TV,0.02127659574468085,47,0.007142857142857143,140,0.2,5
holdout,h_L22_V028_222,60 Giây Official,0.03225806451612903,31,0.0014265335235378032,701,0.1111111111111111,9
holdout,h_L26_V059_89,ViVU TV,0.00819672131147541,122,1.0,1,0.003472222222222222,288
holdout,h_L26_V295_59,ViVU TV,0.0015037593984962407,665,1.0,1,1.0,1
holdout,h_L25_V050_42,Báo Thanh Niên,0.006493506493506494,154,0.011764705882352941,85,0.0021141649048625794,473
holdout,h_L26_V097_56,ViVU TV,0.001199040767386091,834,0.5,2,5.950185050755078e-06,168062
holdout,h_L26_V324_170,ViVU TV,3.90625e-05,25600,8.405762991106703e-06,118966,0.25,4
holdout,h_L30_V033_36,Báo Tuổi Trẻ,1.0,1,6.083280104632418e-06,164385,5.950185050755078e-06,168062
holdout,h_L30_V026_41,Báo Tuổi Trẻ,0.0004438526409232135,2253,1.6751541141785044e-05,59696,1.0,1
holdout,h_L26_V041_48,ViVU TV,0.000691085003455425,1447,1.464321799358627e-05,68291,0.5,2
holdout,h_L26_V195_82,ViVU TV,0.00020048115477145148,4988,1.0794822802983689e-05,92637,0.0029498525073746312,339
holdout,h_L21_V014_97,60 Giây Official,0.16666666666666666,6,0.5,2,0.0625,16
holdout,h_L24_V019_56,HTV Sports,0.0003862495171881035,2589,1.0,1,5.950185050755078e-06,168062
